 ms_accelerometer_x, ms_accelerometer_y, ms_accelerometer_z,outcome
0.96337897,0.06347656,-0.036865234,0
0.99072266,0.057617188,0.005371094,0
0.9909668,0.10839844,0.03466797,0
0.97680664,0.18457031,0.060791016,0
0.99926764,0.14331055,0.055175785,0
1.0263672,0.109375,0.048095703,0
1.0119629,0.0979004,0.048339844,0
0.99902344,0.06103516,0.07714844,0
0.99902344,0.06103516,0.07714844,0
0.9301758,-0.14135742,0.40625003,0
0.876709,-0.25976563,0.37231445,0
0.9716797,-0.07812501,0.22192383,0
1.0510254,0.028076172,0.108886726,0
1.0510254,0.028076172,0.108886726,0
1.017334,0.12597656,0.005126953,0
0.98974615,0.3352051,0.047607422,0
0.89868164,0.4919434,0.053222656,0
0.875,0.030029297,0.15136719,0
0.93627936,-0.2902832,0.14770508,0
1.1662598,-0.13256836,0.25976563,0
1.1135254,-0.20092775,0.17480469,0
1.0561523,-0.19628906,0.19482422,0
1.0651855,-0.23632813,0.19458008,0
1.0458984,-0.15063477,0.19677734,0
1.0458984,-0.15063477,0.19677734,0
0.9379883,-0.1821289,0.22192383,0
0.71533203,0.47070315,0.18603516,0
0.29736328,0.4216309,0.2060547,0
0.14575195,-0.20410156,0.47827148,0
0.532959,0.32055667,0.17626953,0
0.532959,0.32055667,0.17626953,0
0.532959,0.32055667,0.17626953,0
0.532959,0.32055667,0.17626953,0
0.7397461,0.18334962,0.16992188,0
1.1523438,-0.036132813,0.28125,0
2.1108398,-1.0168457,0.12963867,0
0.7268067,-0.2109375,0.12841797,0
0.28100586,0.6455079,0.37622073,0
0.28100586,0.6455079,0.37622073,0
1.0949707,0.3513184,0.28076172,0
0.9042969,0.17382814,0.19799806,0
0.8779297,0.4345703,0.12084961,0
0.89306647,0.36108398,0.11791992,0
0.878418,0.32934573,0.1213379,0
0.878418,0.32934573,0.1213379,0
0.8703614,0.30883792,0.11547852,0
0.88549805,0.25024414,0.0925293,0
0.9348145,0.22094727,0.083740234,0
