,acc_max,gyro_max,acc_kurtosis,gyro_kurtosis,label,lin_max,acc_skewness,gyro_skewness,post_gyro_max,post_lin_max,fall
661,26.039918537018742,7.309796699430188,20.378162104442573,2.7824758875712914,SDL,11.131079696122551,3.8913614045630966,1.5929268156092316,7.086617599915782,10.790400250203442,1
122,25.86449999265627,6.511953612619169,14.187190037773162,5.3248643070213415,FOL,7.945561265962862,3.0221753068369845,2.376938785085529,6.325522080657407,7.719352387410398,1
113,27.524500959162943,12.944098541217162,31.85592562531724,22.891186230989817,FOL,14.454817746242838,4.849024273333979,4.283889637940433,12.888110984989488,14.368784114671993,1
14,30.64770531664789,11.694868495790848,23.608763660743733,9.287735385326757,FOL,15.228303312656513,3.9215367224288498,2.7946093953082145,11.549970736210744,14.944151274505405,1
529,26.37391706354564,11.168424219937409,14.318452821482047,15.983201711582662,FKL,10.007396342530498,3.0879748753250644,3.363557454561976,11.057636349600848,9.753058152030375,1
103,28.704253611762063,5.530128043587002,15.565459655527413,6.599114086711558,FOL,9.48575183560468,2.3246313355596566,2.5984003039446013,5.078532505714543,8.77896978578017,1
338,27.63425977505156,4.624982854730992,27.56344447888525,1.4405181567228338,BSC,10.621071686551254,4.2718283537849775,1.6480216001071255,4.538945682809327,10.39957974906014,1
588,26.770471272721192,4.7570514641698205,35.36653121331249,4.4410314547019984,SDL,11.19925917253802,4.441914277910725,1.869398907705882,4.4366460945370365,10.997761441365046,1
395,22.83314006838152,3.6766418974955135,12.765198050814348,3.135390697672644,FKL,8.693116685060293,2.101738737080726,2.021514294945023,3.2351886181488947,8.014399247148376,1
204,25.900857534660567,4.080352079307404,11.438871662116972,0.848702253284761,BSC,10.586821235107315,2.51134292636837,1.374345147303058,3.566192471834541,8.70882285885676,1
31,28.10141087805217,6.649212620410501,15.233825129687474,6.718597529660896,FOL,13.780156372739109,3.249706991303265,2.6680233303741017,6.598700676887435,13.70918488024926,1
546,23.90769348189953,10.532484237565704,12.337925137221353,13.48133693569998,FKL,15.35547801444565,2.0128068243840507,3.4036405726750725,10.4286865680459,15.145869740772328,1
278,20.88453980084165,3.269102276077596,24.975088741828596,0.8369860758843175,BSC,6.334698019717201,3.847900249679805,1.3408670251531412,3.165107514136864,6.1403289157811045,1
593,28.04611176117651,6.574835908819405,11.576889233901689,4.981300344208319,SDL,10.10891713402545,2.4342202678469578,2.277638853290914,6.201970215441159,9.132752427170386,1
737,27.840225980365023,6.057039278477439,27.78935415245325,8.021285598519277,SDL,11.798544768339866,3.9913446457442414,2.6135585985470886,5.908233396747099,11.052386181544833,1
202,24.81792350986437,4.309058953539262,27.961189894134677,2.2938128905001984,BSC,9.599830478879213,3.308234786500112,1.7290543122640978,4.145275568074608,9.330385944196683,1
175,22.26561466592141,6.842974445182272,15.35396159384926,13.120646692528528,FOL,12.666163432540008,3.715297027977084,3.5178423710741447,6.642018583394908,12.418803479116326,1
55,26.399536986487423,7.989815467081637,11.334524311190822,9.809080048210364,FOL,9.853494554151016,2.632928650730324,3.0738368313616675,7.865069517050152,9.635474544370354,1
479,24.6589373696812,6.6635629409425405,15.236550819267226,6.512788556298014,FKL,15.739768453260377,2.6173432159195564,2.6006009431903263,6.4367494393718765,15.541314331893034,1
365,25.42332653789711,6.794500121846228,20.02712990076333,4.332466064263704,BSC,9.199878330751217,2.531215899373938,2.123793177948969,6.410089536034326,8.677765259773002,1
417,27.68805464688629,4.355486758568867,23.815265698742436,2.346263519232499,FKL,14.53212583198206,3.500034821605861,1.852673984880716,4.143609614834397,13.742809918579884,1
577,27.50115737463037,10.720959620449172,15.357537391373372,7.945293699622885,SDL,15.665589917684269,3.2298763157206154,2.47906641259629,10.28454748568707,15.08856151933543,1
172,23.79169698392995,4.332930559527251,9.948066667019726,5.0122853159007335,FOL,7.661426244994026,2.2127714319317486,2.3698487258509737,3.842791121156375,7.204795685617293,1
352,24.75511664843038,4.945348544310779,13.17575300298432,0.7311301173063729,BSC,8.2766076782047,3.0450643293656885,1.2687227820687457,4.8536002255005695,8.11621352100404,1
